date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:27	10363/10363	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2006:38:19%20GMT	https://aayushassociates.com/robots.txt		(from )
11:38:30	164401/164401	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202023%2006:38:19%20GMT	https://aayushassociates.com/food-social2/	E:/Food%20Social/aayushassociates.com/food-social2/index.html	(from )
11:38:31	24459/24459	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2003:35:31%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/sweetalert2/sweetalert2.min.css?ver=10.16.7	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/sweetalert2/sweetalert2.min629a.css	(from https://aayushassociates.com/food-social2/)
11:38:32	48888/48888	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2003:35:31%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/user-registration.css?ver=3.0.4.2	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/user-registration3e94.css	(from https://aayushassociates.com/food-social2/)
11:38:33	2093/2093	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2003:35:31%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen.css?ver=3.0.4.2	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen3e94.css	(from https://aayushassociates.com/food-social2/)
11:38:33	23899/23899	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2003:35:31%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/my-account-layout.css?ver=3.0.4.2	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/my-account-layout3e94.css	(from https://aayushassociates.com/food-social2/)
11:38:34	1711/1711	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bee8422886bdf8dbc713311da2769ff6%22	https://aayushassociates.com/food-social2/comments/feed/	E:/Food%20Social/aayushassociates.com/food-social2/comments/feed/index.html	(from https://aayushassociates.com/food-social2/)
11:38:34	4034/4034	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Sep%202023%2006:02:27%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/blossomthemes-email-newsletter/public/css/blossomthemes-email-newsletter-public.min.css?ver=2.2.4	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/blossomthemes-email-newsletter/public/css/blossomthemes-email-newsletter-public.minac31.css	(from https://aayushassociates.com/food-social2/)
11:38:34	59016/59016	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Mar%202021%2021:16:22%20GMT	https://aayushassociates.com/food-social2/wp-includes/css/dashicons.min.css?ver=6.3.2	E:/Food%20Social/aayushassociates.com/food-social2/wp-includes/css/dashicons.mine35d.css	(from https://aayushassociates.com/food-social2/)
11:38:34	985/985	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Sep%202023%2006:02:38%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/blossomthemes-instagram-feed/public/css/blossomthemes-instagram-feed-public.css?ver=2.0.5	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/blossomthemes-instagram-feed/public/css/blossomthemes-instagram-feed-publicc1b4.css	(from https://aayushassociates.com/food-social2/)
11:38:35	19886/19886	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bee8422886bdf8dbc713311da2769ff6%22	https://aayushassociates.com/food-social2/feed/	E:/Food%20Social/aayushassociates.com/food-social2/feed/index.html	(from https://aayushassociates.com/food-social2/)
11:38:35	5895/5895	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Sep%202023%2006:02:38%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/blossomthemes-instagram-feed/public/css/magnific-popup.min.css?ver=1.0.0	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/blossomthemes-instagram-feed/public/css/magnific-popup.min8a54.css	(from https://aayushassociates.com/food-social2/)
11:38:35	15155/15155	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Oct%202023%2003:35:31%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/select2/select2.css?ver=4.0.6	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/user-registration/assets/css/select2/select28603.css	(from https://aayushassociates.com/food-social2/)
11:38:35	29329/29329	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Sep%202023%2006:02:43%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/delicious-recipes//assets/lib/lightGallery/css/lightgallery-bundle.min.css?ver=2.0.1	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/delicious-recipes/assets/lib/lightGallery/css/lightgallery-bundle.min7406.css	(from https://aayushassociates.com/food-social2/)
11:38:36	711/711	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Sep%202023%2006:02:43%20GMT	https://aayushassociates.com/food-social2/wp-content/plugins/delicious-recipes//assets/lib/jquery-rateyo/jquery.rateyo.min.css?ver=2.3.2	E:/Food%20Social/aayushassociates.com/food-social2/wp-content/plugins/delicious-recipes/assets/lib/jquery-rateyo/jquery.rateyo.min95b8.css	(from https://aayushassociates.com/food-social2/)
